# 1D ASCII output created by CarpetIOASCII
# created on ee by leo on Mar 09 2022 at 23:05:45-0800
# parameter filename: "ConstantDensitySphere.par"
#
# NRPYLEAKAGEET::NRPYLEAKAGEET_OPTICAL_DEPTHS x (nrpyleakageet-nrpyleakageet_optical_depths)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:tau_0_nue 14:tau_0_anue 15:tau_0_nux 16:tau_1_nue 17:tau_1_anue 18:tau_1_nux
0	0	0 0 0	160 336 336	0	-2.64 0 0	8.15536009066536e-06 9.15061354186e-06 2.79928173004496e-06 1.33513522392019e-05 1.4270563033365e-05 4.50255853697718e-06
0	0	0 0 0	168 336 336	0	-2.52 0 0	8.60843565125788e-06 9.65898096085222e-06 2.95479738171413e-06 1.40930940302687e-05 1.50633720907741e-05 4.75270067792035e-06
0	0	0 0 0	176 336 336	0	-2.4 0 0	9.0615112118504e-06 1.01673483798444e-05 3.11031303338329e-06 1.48348358213355e-05 1.58561811481833e-05 5.00284281886353e-06
0	0	0 0 0	184 336 336	0	-2.28 0 0	9.51458677244292e-06 1.06757157988367e-05 3.26582868505245e-06 1.55765776124022e-05 1.66489902055924e-05 5.25298495980671e-06
0	0	0 0 0	192 336 336	0	-2.16 0 0	9.96766233303545e-06 1.11840832178289e-05 3.42134433672162e-06 1.6318319403469e-05 1.74417992630016e-05 5.50312710074988e-06
0	0	0 0 0	200 336 336	0	-2.04 0 0	1.0420737893628e-05 1.16924506368211e-05 3.57685998839078e-06 1.70600611945358e-05 1.82346083204108e-05 5.75326924169306e-06
0	0	0 0 0	208 336 336	0	-1.92 0 0	1.08738134542205e-05 1.22008180558133e-05 3.73237564005995e-06 1.78018029856026e-05 1.90274173778199e-05 6.00341138263624e-06
0	0	0 0 0	216 336 336	0	-1.8 0 0	1.1326889014813e-05 1.27091854748056e-05 3.88789129172911e-06 1.85435447766693e-05 1.98202264352291e-05 6.25355352357941e-06
0	0	0 0 0	224 336 336	0	-1.68 0 0	1.17799645754055e-05 1.32175528937978e-05 4.04340694339828e-06 1.92852865677361e-05 2.06130354926383e-05 6.50369566452259e-06
0	0	0 0 0	232 336 336	0	-1.56 0 0	1.2233040135998e-05 1.372592031279e-05 4.19892259506744e-06 2.00270283588029e-05 2.14058445500474e-05 6.75383780546577e-06
0	0	0 0 0	240 336 336	0	-1.44 0 0	1.26861156965906e-05 1.42342877317822e-05 4.35443824673661e-06 2.07687701498697e-05 2.21986536074566e-05 7.00397994640894e-06
0	0	0 0 0	248 336 336	0	-1.32 0 0	1.31391912571831e-05 1.47426551507744e-05 4.50995389840577e-06 2.15105119409364e-05 2.29914626648658e-05 7.25412208735212e-06
0	0	0 0 0	256 336 336	0	-1.2 0 0	1.35922668177756e-05 1.52510225697667e-05 4.66546955007494e-06 2.22522537320032e-05 2.37842717222749e-05 7.5042642282953e-06
0	0	0 0 0	264 336 336	0	-1.08 0 0	1.40453423783681e-05 1.57593899887589e-05 4.8209852017441e-06 2.299399552307e-05 2.45770807796841e-05 7.75440636923847e-06
0	0	0 0 0	272 336 336	0	-0.96 0 0	14.1867970344676 9.56204348095977 6.50499000031126 18.3854940884822 15.9275391593265 10.4630762757781
0	0	0 0 0	280 336 336	0	-0.84 0 0	46.0809795492873 31.0590279631259 21.1292487663419 59.7190063033985 51.7351674603726 33.985746554806
0	0	0 0 0	288 336 336	0	-0.72 0 0	76.4691203518701 51.5409259166846 35.0629507582455 99.1007521343607 85.8519613471909 56.3976775090848
0	0	0 0 0	296 336 336	0	-0.6 0 0	107.98679243863 72.7841387666988 49.5145703307444 139.946322753289 121.23688104468 79.6426629569254
0	0	0 0 0	304 336 336	0	-0.48 0 0	138.657316062258 93.4563654443714 63.5777517177968 179.694024781242 155.670706384166 102.262857534595
0	0	0 0 0	312 336 336	0	-0.36 0 0	169.963201033235 114.5568317513 77.9322617439341 220.265128252427 190.817852492155 125.351645264892
0	0	0 0 0	320 336 336	0	-0.24 0 0	200.758527778663 135.313176927577 92.0526683993782 260.174569849586 225.391794411168 148.063884926114
0	0	0 0 0	328 336 336	0	-0.12 0 0	232.000592971446 156.370628093174 106.377915504179 300.662965586517 260.467289995534 171.105604147777
0	0	0 0 0	336 336 336	0	0 0 0	262.851762022794 177.164611518116 120.523927215793 340.644776451148 295.103926122717 193.859028754053
0	0	0 0 0	344 336 336	0	0.12 0 0	232.000592971446 156.370628093174 106.377915504179 300.662965586517 260.467289995534 171.105604147777
0	0	0 0 0	352 336 336	0	0.24 0 0	200.758527778663 135.313176927577 92.0526683993782 260.174569849586 225.391794411168 148.063884926114
0	0	0 0 0	360 336 336	0	0.36 0 0	169.963201033235 114.5568317513 77.9322617439341 220.265128252427 190.817852492155 125.351645264892
0	0	0 0 0	368 336 336	0	0.48 0 0	138.657316062258 93.4563654443714 63.5777517177968 179.694024781242 155.670706384166 102.262857534595
0	0	0 0 0	376 336 336	0	0.6 0 0	107.98679243863 72.7841387666988 49.5145703307444 139.946322753289 121.23688104468 79.6426629569254
0	0	0 0 0	384 336 336	0	0.72 0 0	76.4691203518701 51.5409259166846 35.0629507582455 99.1007521343607 85.8519613471909 56.3976775090848
0	0	0 0 0	392 336 336	0	0.84 0 0	46.0809795492873 31.0590279631259 21.1292487663419 59.7190063033985 51.7351674603726 33.985746554806
